"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2025","687.85","687.54","689.20","686.07","62.56M","-0.36%"
"12/26/2025","690.31","690.64","691.66","689.27","41.61M","-0.01%"
"12/25/2025","690.38","687.95","690.38","690.38","39.45M","0.00%"
"12/24/2025","690.38","687.95","690.83","687.80","39.45M","0.35%"
"12/23/2025","687.96","683.92","688.20","683.87","64.84M","0.46%"
"12/22/2025","684.83","683.94","685.36","680.59","69.56M","0.62%"
"12/19/2025","680.59","676.59","681.09","676.47","103.60M","0.61%"
"12/18/2025","676.47","677.60","680.74","674.90","108.65M","0.76%"
"12/17/2025","671.40","679.89","680.43","671.20","110.63M","-1.10%"
"12/16/2025","678.87","679.23","681.08","674.98","122.03M","-0.27%"
"12/15/2025","680.73","685.74","685.76","679.25","90.81M","-0.15%"
"12/12/2025","681.76","688.17","688.88","679.17","113.16M","-1.08%"
"12/11/2025","689.17","685.14","689.25","682.16","86.17M","0.23%"
"12/10/2025","687.57","682.56","688.97","681.31","85.67M","0.66%"
"12/09/2025","683.04","683.15","685.39","682.59","58.31M","-0.09%"
"12/08/2025","683.63","686.59","686.64","681.57","55.23M","-0.30%"
"12/05/2025","685.69","685.47","688.39","684.58","79.24M","0.19%"
"12/04/2025","684.39","685.30","685.37","681.34","61.97M","0.07%"
"12/03/2025","683.89","680.57","684.91","679.69","57.24M","0.35%"
"12/02/2025","681.53","681.92","683.82","679.33","62.95M","0.19%"
"12/01/2025","680.27","678.81","682.99","678.74","61.20M","-0.46%"
"11/28/2025","683.39","680.86","683.66","680.50","49.21M","0.55%"
"11/26/2025","679.68","677.63","681.70","676.72","71.88M","0.69%"
"11/25/2025","675.02","668.63","676.21","664.48","81.08M","0.94%"
"11/24/2025","668.73","662.69","670.06","661.59","80.44M","1.47%"
"11/21/2025","659.03","655.05","664.55","650.85","123.96M","1.00%"
"11/20/2025","652.53","672.91","675.56","651.89","165.29M","-1.52%"
"11/19/2025","662.63","660.78","667.34","658.74","94.70M","0.39%"
"11/18/2025","660.08","662.09","665.12","655.86","114.47M","-0.84%"
"11/17/2025","665.67","669.70","673.71","662.17","90.46M","-0.93%"
"11/14/2025","671.93","665.38","675.66","663.27","96.85M","-0.02%"
"11/13/2025","672.04","680.50","680.86","670.52","103.46M","-1.66%"
"11/12/2025","683.38","684.79","684.96","680.95","62.31M","0.06%"
"11/11/2025","683.00","679.95","683.57","678.73","58.95M","0.23%"
"11/10/2025","681.44","677.23","682.18","675.03","75.84M","1.56%"
"11/07/2025","670.97","667.91","671.08","661.21","100.59M","0.10%"
"11/06/2025","670.31","676.47","677.38","668.72","85.04M","-1.07%"
"11/05/2025","677.58","674.98","680.86","674.17","74.40M","0.35%"
"11/04/2025","675.24","676.11","679.96","674.58","78.43M","-1.19%"
"11/03/2025","683.34","685.67","685.80","679.94","57.32M","0.19%"
"10/31/2025","682.06","685.04","685.08","679.24","87.16M","0.33%"
"10/30/2025","679.83","683.90","685.94","679.83","76.34M","-1.10%"
"10/29/2025","687.39","688.72","689.70","682.87","85.36M","0.05%"
"10/28/2025","687.06","687.05","688.91","684.83","61.74M","0.27%"
"10/27/2025","685.24","682.73","685.54","682.11","63.34M","1.18%"
"10/24/2025","677.25","676.46","678.47","675.65","74.36M","0.82%"
"10/23/2025","671.76","668.12","672.71","667.80","65.60M","0.59%"
"10/22/2025","667.80","672.00","672.00","663.30","80.56M","-0.52%"
"10/21/2025","671.29","671.44","672.99","669.98","56.25M","0.00%"
"10/20/2025","671.30","667.32","672.21","667.27","60.49M","1.04%"
"10/17/2025","664.39","659.50","665.76","658.14","96.50M","0.57%"
"10/16/2025","660.64","666.82","668.71","657.11","110.56M","-0.68%"
"10/15/2025","665.17","666.82","670.23","658.93","81.70M","0.44%"
"10/14/2025","662.23","657.17","665.83","653.17","88.78M","-0.12%"
"10/13/2025","663.04","660.65","665.13","659.77","79.56M","1.53%"
"10/10/2025","653.02","672.13","673.95","652.84","159.42M","-2.70%"
"10/09/2025","671.16","673.53","673.94","669.21","66.50M","-0.29%"
"10/08/2025","673.11","670.25","673.21","669.42","60.70M","0.60%"
"10/07/2025","669.12","672.54","672.99","667.67","72.02M","-0.37%"
"10/06/2025","671.61","671.62","672.51","669.46","54.62M","0.36%"
"10/03/2025","669.21","669.99","672.67","668.16","70.49M","0.00%"
"10/02/2025","669.22","670.45","670.57","666.78","56.90M","0.12%"
"10/01/2025","668.45","663.17","669.37","663.06","72.55M","0.34%"
"09/30/2025","666.18","662.93","666.65","661.61","86.29M","0.38%"
"09/29/2025","663.68","664.36","665.28","661.86","73.50M","0.28%"
"09/26/2025","661.82","659.51","662.37","657.88","69.18M","0.57%"
"09/25/2025","658.05","657.94","659.41","654.41","89.62M","-0.46%"
"09/24/2025","661.10","664.51","664.61","659.67","68.08M","-0.32%"
"09/23/2025","663.21","666.72","667.34","661.98","81.71M","-0.54%"
"09/22/2025","666.84","662.20","667.29","662.17","69.45M","0.47%"
"09/19/2025","663.70","662.33","664.55","660.37","97.95M","0.22%"
"09/18/2025","662.26","661.89","664.89","660.27","90.46M","0.47%"
"09/17/2025","659.18","660.01","661.72","654.30","101.95M","-0.12%"
"09/16/2025","660.00","661.47","661.78","659.21","61.17M","-0.14%"
"09/15/2025","660.91","659.64","661.04","659.34","63.77M","0.53%"
"09/12/2025","657.41","657.60","659.11","656.90","72.78M","-0.03%"
"09/11/2025","657.63","654.18","658.33","653.59","69.93M","0.83%"
"09/10/2025","652.21","653.62","654.55","650.63","78.03M","0.29%"
"09/09/2025","650.33","648.97","650.86","647.22","66.13M","0.23%"
"09/08/2025","648.83","648.62","649.84","647.23","63.13M","0.25%"
"09/05/2025","647.24","651.48","652.21","643.33","85.18M","-0.29%"
"09/04/2025","649.12","644.42","649.15","643.51","65.22M","0.84%"
"09/03/2025","643.74","642.67","644.21","640.46","70.82M","0.54%"
"09/02/2025","640.27","637.50","640.49","634.92","81.98M","-0.74%"
"08/29/2025","645.05","647.47","647.84","643.14","74.52M","-0.60%"
"08/28/2025","648.92","647.24","649.48","645.34","61.52M","0.35%"
"08/27/2025","646.63","644.57","647.37","644.42","48.34M","0.23%"
"08/26/2025","645.16","642.20","645.51","641.57","51.58M","0.42%"
"08/25/2025","642.47","644.04","645.29","642.35","51.27M","-0.44%"
"08/22/2025","645.31","637.76","646.50","637.25","84.08M","1.54%"
"08/21/2025","635.55","636.28","637.97","633.81","54.81M","-0.40%"
"08/20/2025","638.11","639.40","639.66","632.95","88.89M","-0.27%"
"08/19/2025","639.81","643.12","644.10","638.48","69.75M","-0.54%"
"08/18/2025","643.30","642.86","644.00","642.18","43.80M","-0.02%"
"08/15/2025","643.44","645.99","646.09","642.52","68.59M","-0.23%"
"08/14/2025","644.95","642.79","645.62","642.34","59.33M","0.01%"
"08/13/2025","644.89","644.91","646.19","642.68","60.09M","0.34%"
"08/12/2025","642.69","638.29","642.85","636.79","64.82M","1.06%"
"08/11/2025","635.92","637.46","638.95","634.66","58.74M","-0.20%"
"08/08/2025","637.18","634.06","637.65","633.74","64.05M","0.78%"
"08/07/2025","632.25","636.24","636.98","629.11","74.21M","-0.08%"
"08/06/2025","632.78","629.05","633.44","628.13","64.36M","0.77%"
"08/05/2025","627.97","631.79","632.61","627.04","68.05M","-0.51%"
"08/04/2025","631.17","625.67","631.22","625.58","73.22M","1.52%"
"08/01/2025","621.72","626.30","626.34","619.29","140.10M","-1.64%"
"07/31/2025","632.08","639.46","639.85","630.77","103.39M","-0.38%"
"07/30/2025","634.46","635.92","637.68","631.54","80.42M","-0.13%"
"07/29/2025","635.26","638.35","638.67","634.34","60.56M","-0.26%"
"07/28/2025","636.94","637.48","638.04","635.54","54.92M","-0.03%"
"07/25/2025","637.10","635.09","637.58","634.84","56.87M","0.42%"
"07/24/2025","634.42","634.60","636.15","633.99","71.31M","0.03%"
"07/23/2025","634.21","631.55","634.21","629.73","70.51M","0.85%"
"07/22/2025","628.86","629.10","629.73","626.19","60.05M","0.01%"
"07/21/2025","628.77","628.77","631.54","628.34","63.37M","0.19%"
"07/18/2025","627.58","629.30","629.47","626.46","65.62M","-0.07%"
"07/17/2025","628.04","624.40","628.40","624.18","68.89M","0.61%"
"07/16/2025","624.22","623.74","624.73","618.05","88.99M","0.33%"
"07/15/2025","622.14","627.52","627.86","622.06","74.32M","-0.43%"
"07/14/2025","624.81","623.16","625.16","621.80","51.90M","0.19%"
"07/11/2025","623.62","622.74","624.86","621.53","63.67M","-0.35%"
"07/10/2025","625.82","624.20","626.87","623.01","57.53M","0.28%"
"07/09/2025","624.06","622.77","624.72","620.91","66.11M","0.60%"
"07/08/2025","620.34","621.35","622.11","619.52","59.02M","-0.05%"
"07/07/2025","620.68","623.36","624.03","617.87","74.81M","-0.75%"
"07/03/2025","625.34","622.45","626.28","622.43","51.07M","0.79%"
"07/02/2025","620.45","617.24","620.49","616.61","66.51M","0.45%"
"07/01/2025","617.65","616.36","618.83","615.52","70.03M","-0.03%"
"06/30/2025","617.85","617.38","619.22","615.04","92.50M","0.48%"
"06/27/2025","614.91","612.88","616.39","610.83","86.26M","0.50%"
"06/26/2025","611.87","608.99","612.31","608.37","78.55M","0.78%"
"06/25/2025","607.12","607.91","608.61","605.54","62.11M","0.06%"
"06/24/2025","606.78","604.33","607.85","603.41","67.74M","1.10%"
"06/23/2025","600.15","595.04","600.54","591.89","87.43M","0.99%"
"06/20/2025","594.28","598.38","599.46","592.86","94.05M","-0.53%"
"06/18/2025","597.44","598.44","601.22","596.47","76.61M","-0.02%"
"06/17/2025","597.53","600.21","601.75","596.76","82.21M","-0.85%"
"06/16/2025","602.68","600.40","604.45","600.22","79.98M","0.95%"
